zpid,home_type,posted,daysOnMarket,home_URL,home_status,home_price,home_address,home_zipcode,num_beds,num_baths,home_area,land_area,sold_price,sold_date,daysOnZillow_soldPage,area,Avg_Sqrt_listing,Avg_Sqrt_sold,difference_Avg_Sqrt,total_Pct_Change_price
31098294,SINGLE_FAMILY,2025-06-17,14,https://www.zillow.com/homedetails/147-Nugent-St-New-Hyde-Park-NY-11040/31098294_zpid/,FOR_SALE,989000,"147 Nugent Street, New Hyde Park, NY 11040",11040,3.0,1.0,1284.0,5610.0,,,,New Hyde Park,770,,,
31094804,SINGLE_FAMILY,2025-04-27,65,https://www.zillow.com/homedetails/556-N-12th-St-New-Hyde-Park-NY-11040/31094804_zpid/,FOR_SALE,838000,"556 N 12 Street, New Hyde Park, NY 11040",11040,4.0,2.0,1281.0,,,,,New Hyde Park,654,,,
31097133,SINGLE_FAMILY,2025-06-13,18,https://www.zillow.com/homedetails/1742-W-End-Ave-New-Hyde-Park-NY-11040/31097133_zpid/,FOR_SALE,875000,"1742 W End Ave, New Hyde Park, NY 11040",11040,3.0,1.0,1200.0,5000.0,,,,New Hyde Park,729,,,
31093405,SINGLE_FAMILY,2025-04-20,72,https://www.zillow.com/homedetails/1793-Stewart-Ave-New-Hyde-Park-NY-11040/31093405_zpid/,FOR_SALE,945000,"1793 Stewart Avenue, New Hyde Park, NY 11040",11040,4.0,1.0,1715.0,6100.0,,,,New Hyde Park,551,,,
31100546,SINGLE_FAMILY,2025-06-25,6,https://www.zillow.com/homedetails/33-Park-Cir-New-Hyde-Park-NY-11040/31100546_zpid/,FOR_SALE,979000,"33 Park Circle, New Hyde Park, NY 11040",11040,4.0,2.0,1600.0,4171.0,,,,New Hyde Park,612,,,
31092322,SINGLE_FAMILY,2025-05-01,61,https://www.zillow.com/homedetails/1041-N-6th-St-New-Hyde-Park-NY-11040/31092322_zpid/,FOR_SALE,899000,"1041 N 6th Street, New Hyde Park, NY 11040",11040,4.0,2.0,1855.0,4000.0,,,,New Hyde Park,485,,,
31186381,SINGLE_FAMILY,2025-04-24,68,https://www.zillow.com/homedetails/80-Park-Ave-New-Hyde-Park-NY-11040/31186381_zpid/,FOR_SALE,989000,"80 Park Avenue, New Hyde Park, NY 11040",11040,3.0,2.0,1284.0,5000.0,,,,New Hyde Park,770,,,
31099017,SINGLE_FAMILY,2025-06-06,25,https://www.zillow.com/homedetails/26-Greenway-New-Hyde-Park-NY-11040/31099017_zpid/,FOR_SALE,999999,"26 Greenway, New Hyde Park, NY 11040",11040,2.0,2.0,1104.0,8820.0,,,,New Hyde Park,906,,,
31095259,SINGLE_FAMILY,2025-05-08,54,https://www.zillow.com/homedetails/35-Barwick-St-Floral-Park-NY-11001/31095259_zpid/,FOR_SALE,948000,"35 Barwick Street, Floral Park, NY 11001",11001,3.0,1.0,1300.0,4000.0,,,,Floral Park,729,,,
31204795,SINGLE_FAMILY,2025-06-30,1,https://www.zillow.com/homedetails/226-James-St-Franklin-Square-NY-11010/31204795_zpid/,FOR_SALE,739000,"226 James Street, Franklin Square, NY 11010",11010,3.0,1.0,1229.0,4000.0,,,,Franklin Square,601,,,
31213565,SINGLE_FAMILY,2025-06-27,4,https://www.zillow.com/homedetails/757-Marion-St-Franklin-Square-NY-11010/31213565_zpid/,FOR_SALE,749000,"757 Marion, Franklin Square, NY 11010",11010,4.0,2.0,1156.0,7150.0,,,,Franklin Square,648,,,
31204605,SINGLE_FAMILY,2025-05-23,39,https://www.zillow.com/homedetails/166-Madison-St-Franklin-Square-NY-11010/31204605_zpid/,FOR_SALE,798000,"166 Madison St, Franklin Square, NY 11010",11010,4.0,2.0,1271.0,4000.0,,,,Franklin Square,628,,,
31205989,SINGLE_FAMILY,2025-06-19,12,https://www.zillow.com/homedetails/662-Benris-Ave-Franklin-Square-NY-11010/31205989_zpid/,FOR_SALE,699000,"662 Benris Avenue, Franklin Square, NY 11010",11010,4.0,1.0,1422.0,4100.0,,,,Franklin Square,492,,,
31189703,SINGLE_FAMILY,2025-06-07,24,https://www.zillow.com/homedetails/62-Herman-Blvd-Franklin-Square-NY-11010/31189703_zpid/,FOR_SALE,799000,"62 Herman Boulevard, Franklin Square, NY 11010",11010,4.0,3.0,1589.0,4000.0,,,,Franklin Square,503,,,
31214270,SINGLE_FAMILY,2025-06-10,21,https://www.zillow.com/homedetails/738-Craft-Ave-Franklin-Square-NY-11010/31214270_zpid/,FOR_SALE,899990,"738 Craft Avenue, Franklin Square, NY 11010",11010,3.0,3.0,1375.0,,,,,Franklin Square,655,,,
31205028,SINGLE_FAMILY,2025-06-25,6,https://www.zillow.com/homedetails/883-Saint-James-Pl-Franklin-Square-NY-11010/31205028_zpid/,FOR_SALE,899000,"883 Saint James Place, Franklin Square, NY 11010",11010,4.0,3.0,1900.0,5700.0,,,,Franklin Square,473,,,
31203672,SINGLE_FAMILY,2025-06-13,18,https://www.zillow.com/homedetails/184-Doris-Ave-Franklin-Square-NY-11010/31203672_zpid/,FOR_SALE,949000,"184 Doris Avenue, Franklin Square, NY 11010",11010,5.0,2.0,2079.0,5400.0,,,,Franklin Square,456,,,
31189892,SINGLE_FAMILY,2025-02-21,130,https://www.zillow.com/homedetails/78-New-Hyde-Park-Rd-Franklin-Square-NY-11010/31189892_zpid/,FOR_SALE,705000,"78 New Hyde Park Road, Franklin Square, NY 11010",11010,5.0,2.0,1303.0,4000.0,,,,Franklin Square,541,,,
31189497,SINGLE_FAMILY,2025-06-28,3,https://www.zillow.com/homedetails/53-Grand-St-Elmont-NY-11003/31189497_zpid/,FOR_SALE,724999,"53 Grand Street, Elmont, NY 11003",11003,4.0,2.0,1002.0,4500.0,,,,Elmont,724,,,
31214221,SINGLE_FAMILY,2025-06-04,27,https://www.zillow.com/homedetails/697-Byron-Ave-Franklin-Square-NY-11010/31214221_zpid/,FOR_SALE,799000,"697 Byron Avenue, Franklin Square, NY 11010",11010,3.0,2.0,1216.0,6600.0,,,,Franklin Square,657,,,
31205385,SINGLE_FAMILY,2025-06-26,5,https://www.zillow.com/homedetails/422-Saint-Agnes-Pl-Franklin-Square-NY-11010/31205385_zpid/,FOR_SALE,788500,"422 Saint Agnes Place, Franklin Square, NY 11010",11010,3.0,3.0,1275.0,5000.0,,,,Franklin Square,618,,,
31202914,SINGLE_FAMILY,2025-05-21,41,https://www.zillow.com/homedetails/1150-Langdon-St-Franklin-Square-NY-11010/31202914_zpid/,FOR_SALE,849000,"1150 Langdon Street, Franklin Square, NY 11010",11010,5.0,2.0,1969.0,5959.0,,,,Franklin Square,431,,,
31215772,SINGLE_FAMILY,2025-05-30,32,https://www.zillow.com/homedetails/465-Eureka-Ave-Elmont-NY-11003/31215772_zpid/,FOR_SALE,585000,"465 Eureka Avenue, Elmont, NY 11003",11003,2.0,1.0,955.0,4752.0,,,,Elmont,613,,,
31203685,SINGLE_FAMILY,2025-05-02,60,https://www.zillow.com/homedetails/197-Doris-Ave-Franklin-Square-NY-11010/31203685_zpid/,FOR_SALE,975000,"197 Doris Avenue, Franklin Square, NY 11010",11010,5.0,4.0,2000.0,5900.0,,,,Franklin Square,488,,,
31202933,SINGLE_FAMILY,2025-06-03,28,https://www.zillow.com/homedetails/154-Randolph-Ave-Franklin-Square-NY-11010/31202933_zpid/,FOR_SALE,645000,"154 Randolph Avenue, Franklin Square, NY 11010",11010,3.0,1.0,1316.0,4000.0,,,,Franklin Square,490,,,
31204549,SINGLE_FAMILY,2025-06-12,19,https://www.zillow.com/homedetails/122-James-St-Franklin-Square-NY-11010/31204549_zpid/,FOR_SALE,820000,"122 James Street, Franklin Square, NY 11010",11010,4.0,2.0,1649.0,6000.0,,,,Franklin Square,497,,,
